0.320167, 0.125301, 0.0865473, 4.47604
0.320998, 0.124945, 0.0865473, 4.91766
0.320304, 0.124997, 0.0861496, 4.74054
0.318031, 0.125212, 0.0849757, 3.9268
0.320424, 0.125052, 0.0865473, 5.33916
0.324643, 0.124016, 0.085752, 4.725
0.318959, 0.125345, 0.085752, 3.58771
0.32295, 0.124247, 0.0849565, 4.03976
0.313339, -0.0864547, 0.0661429, -29.284
0.291146, -0.0974289, 0.0671419, -49.3603
0.29071, -0.0971854, 0.0673316, -48.5317
0.294091, -0.0952424, 0.0669561, -46.2466
0.309094, -0.0873901, 0.0665247, -32.4784
0.303009, -0.088773, 0.0669065, -34.5609
0.295875, -0.0933584, 0.0670529, -42.5432
0.290166, -0.0983848, 0.066747, -48.7154
0.30289, -0.08844, 0.0669561, -33.8248
0.303642, -0.089917, 0.0673927, -34.6709
0.295964, -0.0931414, 0.0669261, -42.7062
0.291394, -0.0973977, 0.067126, -47.8807
0.290979, -0.0966083, 0.0663358, -48.9479
0.290029, -0.0972911, 0.0661271, -48.3669


